price,trade,type,data_format,file_type,tag,time,evaluation,name,size,browse
25000.0元/月,0,API数据,,,投融资,,5,京东办公设备指数查询,,30110
25000.0元/月,0,API数据,,,投融资,,5,京东酒类指数查询,,26129
25000.0元/月,0,API数据,,,投融资,,5,京东电脑指数查询,,30388
0.15元/次,0,API数据,,,企业综合,,4,法院裁判文书,,24128
0.15元/次,0,API数据,,,企业工商,,4,工商三要素,,28069
25000.0元/月,0,API数据,,,投融资,,5,京东家居家装指数查询,,30528
0.15元/次,0,API数据,,,司法,,4,开庭公告信息,,23250
0.15元/次,0,API数据,,,知识产权,,4,企业软件著作权,,21900
0.15元/次,0,API数据,,,司法,,4,企业法院公告信息,,29888
0.15元/次,0,API数据,,,资质备案,,4,企业ICP网站备案,,25659
0.3元/次,0,API数据,,,企业工商,,4,动产抵押,,24412
0.3元/次,0,API数据,,,行政监管,,4,抽查检查,,30090
0.3元/次,0,API数据,,,企业综合,,4,企业年报,,30369
0.3元/次,0,API数据,,,企业工商,,5,企业工商诉讼信息,,29973
低于0.01元/次,0,API数据,,,天气查询,,4,墨迹天气信息服务基础版cityid,,29532
低于0.01元/次,0,API数据,,,天气查询,,5,墨迹天气信息服务基础版经纬度,,28184
低于0.01元/次,0,API数据,,,快递查询,,5,快递查询API,,29695
低于0.01元/次,0,API数据,,,天气查询,,5,全国天气预报,,27972
0.3元/次,0,API数据,,,手机在网时长,,5,手机在网时长,,29640
0.4元/次,0,API数据,,,手机号验证,,5,三网手机实名制认证,,26481
0.3元/次,0,API数据,,,银行卡核验,,5,银行卡四元素校验,,34202
0.6元/次,0,API数据,,,智能风控,,4,证件照合规性检测证件照制作API,,31638
0.13元/次,0,API数据,,,企业工商,,5,企业工商信息查询v2,,31587
0.04元/次,0,API数据,,,短信API,,4,106触发验证码通知短信,,22174
低于0.01元/次,0,API数据,,,app应用,,5,二维码生成和识别,,28023
19.0元/次,0,API数据,,,招投标,,4,企业中标金额分布,,20791
19.0元/次,0,API数据,,,招投标,,4,采购单位历史招标金额查询,,21287
19.0元/次,0,API数据,,,企业综合,,4,企业中标次数查询,,22602
19.0元/次,0,API数据,,,招投标,,4,企业历史中标金额查询,,28096
19.0元/次,0,API数据,,,企业综合,,4,企业重要客户查询,,26718
19.0元/次,0,API数据,,,招投标,,4,采购单位招标次数查询,,21393
90.0元/次,0,API数据,,,市场调研,,4,行业客户名单,,22411
500.0元/半年,0,API数据,,,位置地图,,4,贵州省贵阳市停车场位置数据,,24381
48.0元/次,0,API数据,,,企业综合,,4,与企业关系密切的采购单位查询,,24145
0.04元/次,0,API数据,,,短信API,,4,云智信语音通知Api,,25374
0.17元/次,0,API数据,,,位置地图,,4,全国火车站位置数据,,23586
0.17元/次,0,API数据,,,位置地图,,4,全国4A级景点数据按城市查询,,24080
0.17元/次,0,API数据,,,位置地图,,4,全国飞机场位置数据,,27701
0.17元/次,0,API数据,,,位置地图,,4,全国汽车充电站位置数据,,26404
0.17元/次,0,API数据,,,位置地图,,4,全国5A级旅游景点位置数据,,23512
0.17元/次,0,API数据,,,位置地图,,4,全国度假村位置数据,,24773
0.17元/次,0,API数据,,,位置地图,,4,全国汽车站位置数据,,28638
0.17元/次,0,API数据,,,位置地图,,4,全国地铁站位置数据,,27560
0.04元/次,0,API数据,,,短信API,,5,短信验证码,,21612
0.17元/次,0,API数据,,,位置地图,,4,全国港口码头位置数据,,25166
0.17元/次,0,API数据,,,位置地图,,4,全国加气站位置数据,,22036
0.17元/次,0,API数据,,,位置地图,,5,全国旅游景点位置数据,,30974
0.17元/次,0,API数据,,,位置地图,,4,全国四星级宾馆位置数据,,28737
0.17元/次,0,API数据,,,位置地图,,4,全国银行位置数据,,26630
0.17元/次,0,API数据,,,位置地图,,4,全国三星级宾馆位置数据,,25321
0.15元/次,0,API数据,,,招投标,,4,股权质押,,24985
4.8元/次,0,API数据,,,企业综合,,4,公司联系方式查询,,28921
0.15元/次,0,API数据,,,知识产权,,4,企业商标,,30330
0.08元/次,0,API数据,,,航空航班,,5,航班起降时间查询,,28304
0.05元/次,0,API数据,,,短信API,,4,印度国际营销短信,,21829
1.0元/次,0,API数据,,,新闻资讯,,5,林克舆情API数据接口,,27478
0.14元/次,0,API数据,,,短信API,,4,全球短信验证码,,30821
0.05元/次,0,API数据,,,短信API,,4,美国加拿大国际短信,,25038
0.09元/次,0,API数据,,,企业综合,,5,企业经营信息,,27829
0.02元/次,0,API数据,,,企业综合,,5,按公司名查税号,,23598
0.04元/次,0,API数据,,,企业工商,,5,企业工商数据,,39904
0.8元/次,0,API数据,,,位置地图,,4,河北省保定市小区面轮廓位置数据,,30027
低于0.01元/次,0,API数据,,,智能营销,,4,短文本相似度,,21550
0.8元/次,0,API数据,,,位置地图,,4,河南省郑州市小学学区划片范围数据,,24753
0.04元/次,0,API数据,,,短信API,,4,云智信短信验证码Api,,29207
0.04元/次,0,API数据,,,短信API,,4,云智信短信通知Api,,23068
0.04元/次,0,API数据,,,短信API,,4,云智信语音验证码Api,,27436
0.05元/次,0,API数据,,,短信API,,4,云智信70字营销短信Api,,28296
0.01元/次,0,API数据,,,智能识别,,4,银行卡OCR识别,,22973
1.2元/次,0,API数据,,,车辆信息,,4,VIN查询车辆基本信息,,21966
低于0.01元/次,0,API数据,,,商品信息,,4,阿里巴巴商品描述信息查询,,23942
低于0.01元/次,0,API数据,,,电子商务,,5,淘宝商品描述信息查询,,25091
1.7元/次,0,API数据,,,企业综合,,4,反洗钱,,30002
0.15元/次,0,API数据,,,企业综合,,4,抽查检查,,22535
0.15元/次,0,API数据,,,行政监管,,4,被执行人信息,,30554
0.15元/次,0,API数据,,,知识产权,,4,企业专利信息,,25849
低于0.01元/次,0,API数据,,,智能客服,,4,简繁文字转换,,30757
低于0.01元/次,0,API数据,,,智能客服,,4,文本摘要提取,,30796
低于0.01元/次,0,API数据,,,智能识别,,4,拼音转换,,29025
低于0.01元/次,0,API数据,,,智能客服,,4,中文智能分词,,31302
0.02元/次,0,API数据,,,1分钱,,5,OCR身份证识别,,22441
低于0.01元/次,0,API数据,,,银行卡信息,,5,银行卡信息查询,,29885
0.02元/次,0,API数据,,,智能识别,,4,OCR汽车车型识别,,30223
0.03元/次,0,API数据,,,身份核验,,5,身份证实名认证,,30638
0.05元/次,0,API数据,,,智能风控,,4,OCR营业执照识别,,29302
低于0.01元/次,0,API数据,,,银行卡核验,,4,企业银行卡账户验证结果查询,,27787
低于0.01元/次,0,API数据,,,银行卡信息,,5,查询银行卡类型及归属信息,,29743
0.08元/次,0,API数据,,,企业综合,,4,全国政务办事指南事项查询,,22292
0.01元/次,0,API数据,,,商品信息,,5,ISBN数据查询,,23037
0.05元/次,0,API数据,,,短信API,,4,106营销短信,,21735
0.03元/次,0,API数据,,,短信API,,5,106通知短信,,28599
0.03元/次,0,API数据,,,短信API,,4,106验证码短信,,23943
50.0元/月,0,API数据,,,市场调研,,4,以太坊数据,,23226
0.04元/次,0,API数据,,,短信API,,4,短信营销,,27356
低于0.01元/次,0,API数据,,,商品信息,,5,拼多多商品详细信息查询,,31167
低于0.01元/次,0,API数据,,,商品信息,,4,阿里妈妈淘客商品搜索查询,,23409
低于0.01元/次,0,API数据,,,商品信息,,4,阿里妈妈淘客商品详细信息查询,,27014
低于0.01元/次,0,API数据,,,商品信息,,4,阿里妈妈优惠券信息查询,,23063
低于0.01元/次,0,API数据,,,商品信息,,4,拼多多商品基本信息批量查询,,26588
低于0.01元/次,0,API数据,,,商品信息,,4,通过关键词查询搜索京东商品V1,,25253
低于0.01元/次,0,API数据,,,商品信息,,4,京东整店商品列表查询,,25599
低于0.01元/次,0,API数据,,,商品信息,,4,京东商品详情信息查询V1,,21206
低于0.01元/次,0,API数据,,,电子商务,,4,淘宝图片搜索同款商品,,23651
0.2元/次,0,API数据,,,企业工商,,4,企业工商详情查询BASIC,,24060
0.07元/次,0,API数据,,,短信API,,4,超长短信接口,,27978
0.03元/次,0,API数据,,,短信API,,4,验证码短信,,27579
0.15元/次,0,API数据,,,企业综合,,5,浙江企业工商信息查询,,23914
0.5元/次,0,API数据,,,企业综合,,5,江苏相似企业推荐查询,,27397
0.2元/次,0,API数据,,,企业综合,,5,浙江企业名称精确查询,,23327
低于0.01元/次,0,API数据,,,天气查询,,5,墨迹天气信息服务专业版cityid,,28150
0.15元/次,0,API数据,,,风控,,4,专业版法院综合诉讼查询单篇详情,,24792
低于0.01元/次,0,API数据,,,天气查询,,5,墨迹天气信息服务专业版经纬度,,29323
0.04元/次,0,API数据,,,企业工商,,5,企业工商信息查询,,36751
0.3元/次,0,API数据,,,企业综合,,4,股权出质,,30457
0.3元/次,0,API数据,,,企业工商,,4,严重违法,,28907
0.3元/次,0,API数据,,,经营管理,,4,经营异常,,21014
0.3元/次,0,API数据,,,行政监管,,4,行政处罚,,22852
0.3元/次,0,API数据,,,企业图谱,,4,分支机构,,30475
0.3元/次,0,API数据,,,企业工商,,4,股东信息,,23624
0.3元/次,0,API数据,,,企业综合,,4,主要人员,,24390
0.3元/次,0,API数据,,,投融资,,4,对外投资,,25969
0.05元/次,0,API数据,,,短信API,,5,语音验证码接口,,23385
0.03元/次,0,API数据,,,短信API,,5,短信接口,,43364
0.04元/次,0,API数据,,,短信API,,5,营销短信,,22940
0.03元/次,0,API数据,,,短信API,,5,短信验证码接口,,28544
15.0元/次,0,API数据,,,车辆信息,,5,车架号查询车辆出险记录,,28914
低于0.01元/次,0,API数据,,,智能识别,,4,语言处理AI图片审核接口,,30101
低于0.01元/次,0,API数据,,,智能风控,,4,语言处理AI文本审核接口,,27708
低于0.01元/次,0,API数据,,,智能识别,,4,图片识别车型识别,,22811
低于0.01元/次,0,API数据,,,智能识别,,4,图片识别菜品识别,,23563
低于0.01元/次,0,API数据,,,app应用,,5,二维码生成识别,,27012
低于0.01元/次,0,API数据,,,IP地址,,5,IP查询,,29730
低于0.01元/次,0,API数据,,,手机号码归属,,5,手机号码归属地收费版,,28665
低于0.01元/次,0,API数据,,,位置地图,,5,经纬度地址转换,,34078
低于0.01元/次,0,API数据,,,资质备案,,4,WHOIS查询,,24845
低于0.01元/次,0,API数据,,,基站,,5,基站查询,,23943
0.11元/次,0,API数据,,,知识产权,,5,著作权软著查询,,32740
0.18元/次,0,API数据,,,车辆信息,,4,车辆VIN码查询,,27535
0.13元/次,0,API数据,,,车辆信息,,4,驾驶员累计扣分查询,,27116
0.01元/次,0,API数据,,,风控,,4,银行卡归属地查询,,22230
低于0.01元/次,0,API数据,,,电子商务,,4,通过商品编码查询搜索同款阿里巴巴商品,,28990
低于0.01元/次,0,API数据,,,电子商务,,4,通过商品编码查询搜索相似阿里巴巴商品,,25526
1.2元/次,0,API数据,,,车辆信息,,4,车辆出厂信息查询,,29056
0.07元/次,0,API数据,,,企业工商,,4,企业曾用名查询,,26799
0.07元/次,0,API数据,,,企业工商,,4,企业名称模糊查询,,28497
低于0.01元/次,0,API数据,,,电子商务,,4,通过图片查询搜索阿里巴巴商品,,30113
低于0.01元/次,0,API数据,,,电子商务,,4,阿里巴巴商品评价信息查询,,28903
低于0.01元/次,0,API数据,,,电子商务,,4,阿里巴巴卖家店铺评分DSR信息查询,,30156
低于0.01元/次,0,API数据,,,电子商务,,4,阿里巴巴卖家店铺认证信息查询,,28199
低于0.01元/次,0,API数据,,,电子商务,,4,阿里巴巴卖家店铺公司信息查询,,23625
低于0.01元/次,0,API数据,,,电子商务,,4,阿里巴巴整店商品查询,,25797
低于0.01元/次,0,API数据,,,电子商务,,4,阿里巴巴卖家店铺前台类目查询,,26045
低于0.01元/次,0,API数据,,,电子商务,,4,阿里巴巴商品标准类目查询,,23465
低于0.01元/次,0,API数据,,,快递查询,,5,拇指快递查询,,25106
低于0.01元/次,0,API数据,,,天气查询,,5,中国和世界天气高级版,,23769
0.1元/次,0,API数据,,,企业工商,,4,查询企业基本信息,,28189
0.31元/次,0,API数据,,,银行卡核验,,4,银行卡四要素验证B版,,28430
0.31元/次,0,API数据,,,银行卡核验,,4,银行卡三要素验证B版,,25347
0.06元/次,0,API数据,,,银行卡核验,,5,身份证二要素验证,,25429
0.04元/次,0,API数据,,,智能识别,,4,身份证正反面自动识别,,27079
低于0.01元/次,0,API数据,,,快递查询,,4,全球快递物流查询国际版外语版,,21332
0.14元/次,0,API数据,,,短信API,,4,云智信201字长短信Api,,21941
0.1元/次,0,API数据,,,企业工商,,4,翔云营业执照企业工商信息查询验证真伪,,21939
0.33元/次,0,API数据,,,电子商务,,4,长尾词搜索,,22130
0.12元/次,0,API数据,,,企业工商,,5,企业工商数据精准查询,,24316
低于0.01元/次,0,API数据,,,尾号限行,,4,车辆限行,,27917
低于0.01元/次,0,API数据,,,舆情监测,,4,文本敏感词检测过滤,,25295
0.04元/次,0,API数据,,,知识产权,,4,企业软件著作权查询,,29251
0.04元/次,0,API数据,,,智能识别,,4,OCR营业执照识别,,26188
0.06元/次,0,API数据,,,app应用,,4,在线翻译,,30769
0.06元/次,0,API数据,,,智能识别,,4,OCR增值税发票识别,,23857
1.2元/次,0,API数据,,,反欺诈,,5,职业资格证书查询,,28219
低于0.01元/次,0,API数据,,,智能识别,,4,图片标签,,20414
低于0.01元/次,0,API数据,,,智能识别,,4,图片鉴黄与鉴暴恐,,24202
低于0.01元/次,0,API数据,,,电子商务,,4,京东店铺基本信息查询,,24843
低于0.01元/次,0,API数据,,,电子商务,,4,通过关键词查询搜索阿里巴巴商品,,24696
低于0.01元/次,0,API数据,,,快递查询,,4,全国快递物流单号查询,,28139
低于0.01元/次,0,API数据,,,油价查询,,5,最新版今日油价查询接口,,29221
低于0.01元/次,0,API数据,,,快递查询,,5,快递查询,,37741
0.02元/次,0,API数据,,,行驶驾驶,,5,驾驶证扣分查询,,23215
0.3元/次,0,API数据,,,手机号码状态,,5,手机在网状态,,24935
0.25元/次,0,API数据,,,银行卡核验,,5,银行卡三元素检测,,24098
0.12元/次,0,API数据,,,企业工商,,5,企业经营异常信息查询,,23567
0.1元/次,0,API数据,,,行政监管,,4,行政处罚综合查询,,27380
0.2元/次,0,API数据,,,身份核验,,5,身份证实名认证,,34209
0.2元/次,0,API数据,,,企业综合,,4,海关企业信息及信用等级查询,,27604
低于0.01元/次,0,API数据,,,风控,,4,空号or沉默号检测,,23191
0.26元/次,0,API数据,,,风控,,4,手机在网时长C版,,21016
0.26元/次,0,API数据,,,风控,,4,手机在网状态C版,,30101
0.09元/次,0,API数据,,,知识产权,,4,商标查询,,25902
低于0.01元/次,0,API数据,,,app应用,,5,ISBN查询,,24764
低于0.01元/次,0,API数据,,,智能识别,,4,自然语言处理,,21387
0.01元/次,0,API数据,,,app应用,,4,苹果产品鉴定,,29691
低于0.01元/次,0,API数据,,,智能识别,,4,图像分析与识别,,30386
低于0.01元/次,0,API数据,,,快递查询,,5,全球快递物流查询,,30880
0.07元/次,0,API数据,,,天气查询,,4,国内天气实况,,26189
0.02元/次,0,API数据,,,天气查询,,4,国内机场实况4天逐24小时预报,,23237
低于0.01元/次,0,API数据,,,智能风控,,5,OCR银行卡识别,,28845
低于0.01元/次,0,API数据,,,智能风控,,4,语言处理AI词法分析接口,,23096
低于0.01元/次,0,API数据,,,行驶驾驶,,5,OCR行驶证识别,,31264
低于0.01元/次,0,API数据,,,智能识别,,4,OCR身份证识别,,22109
低于0.01元/次,0,API数据,,,电子商务,,5,京东商品评价详情查询,,22709
低于0.01元/次,0,API数据,,,电子商务,,4,京东商品问答详情查询,,29893
低于0.01元/次,0,API数据,,,智能风控,,5,OCR营业执照识别,,28639
低于0.01元/次,0,API数据,,,电子商务,,4,京东商品问答列表查询,,23693
低于0.01元/次,0,API数据,,,电子商务,,4,淘宝用户头像查询,,22090
低于0.01元/次,0,API数据,,,电子商务,,4,通过条形码ISBN查询搜索淘宝商品,,22076
低于0.01元/次,0,API数据,,,电子商务,,4,通过关键词查询搜索天猫超市商品,,21536
低于0.01元/次,0,API数据,,,电子商务,,4,淘宝问大家问答列表查询V2,,24828
低于0.01元/次,0,API数据,,,电子商务,,4,淘宝问大家问答详情查询V2,,23083
低于0.01元/次,0,API数据,,,电子商务,,4,淘宝问大家问答详情查询V1,,21373
低于0.01元/次,0,API数据,,,电子商务,,5,淘宝问大家问答列表查询V1,,30194
低于0.01元/次,0,API数据,,,电子商务,,4,淘宝店铺优惠券列表查询,,21559
低于0.01元/次,0,API数据,,,电子商务,,5,淘宝商品评价详情查询V1,,28139
低于0.01元/次,0,API数据,,,商品信息,,4,淘宝商品评价详情查询V2,,23963
低于0.01元/次,0,API数据,,,商品信息,,5,淘宝淘口令解析查询,,26238
低于0.01元/次,0,API数据,,,电子商务,,4,淘宝卖家店铺评分DSR信息查询,,29279
低于0.01元/次,0,API数据,,,电子商务,,4,淘宝店铺评价详情查询,,28551
低于0.01元/次,0,API数据,,,电子商务,,4,淘宝卖家店铺基本信息查询V3,,28712
低于0.01元/次,0,API数据,,,电子商务,,4,淘宝问大家问答详情评论查询,,27795
低于0.01元/次,0,API数据,,,商品信息,,5,淘宝卖家店铺基本信息查询V2,,26997
低于0.01元/次,0,API数据,,,电子商务,,5,淘宝商品详细信息查询V1,,25417
低于0.01元/次,0,API数据,,,电子商务,,5,淘宝卖家店铺基本信息查询V1,,28923
低于0.01元/次,0,API数据,,,电子商务,,4,淘宝店铺前台展示类目,,25024
低于0.01元/次,0,API数据,,,电子商务,,5,淘宝标准商品类目查询,,21422
0.07元/次,0,API数据,,,黑名单,,5,失信被执行人信息查询,,21929
0.14元/次,0,API数据,,,企业工商,,4,企业经营异常信息查询,,21438
0.11元/次,0,API数据,,,公告文书,,4,企业裁判文书信息查询,,23505
0.07元/次,0,API数据,,,企业工商,,4,企业工商三要素核验,,29314
0.11元/次,0,API数据,,,招投标,,4,企业招投标信息查询,,29405
0.21元/次,0,API数据,,,司法,,4,企业严重违法信息,,27442
0.03元/次,0,API数据,,,企业综合,,4,企业年报信息查询,,21858
0.07元/次,0,API数据,,,投融资,,4,企业对外投资信息查询,,23451
低于0.01元/次,0,API数据,,,电子商务,,5,淘宝整店商品列表查询V1,,28381
6.0元/次,0,API数据,,,车辆信息,,5,车辆维修保养记录,,25639
低于0.01元/次,0,API数据,,,电子商务,,5,淘宝整店商品列表查询V2,,26097
低于0.01元/次,0,API数据,,,电子商务,,5,淘宝淘口令生成创建,,24585
低于0.01元/次,0,API数据,,,电子商务,,5,通过关键词查询搜索淘宝商品V1,,22618
低于0.01元/次,0,API数据,,,天气查询,,5,天气预报,,42682
0.4元/次,0,API数据,,,短信API,,5,美国国际短信,,30171
低于0.01元/次,0,API数据,,,app应用,,5,条码查询,,25967
低于0.01元/次,0,API数据,,,电子商务,,5,淘宝商品信息查询AuctionTag,,31161
0.1元/次,0,API数据,,,黑名单,,5,失信被执行人,,30481
低于0.01元/次,0,API数据,,,天气查询,,4,国内城市逐24小时预报,,22995
0.01元/次,0,API数据,,,天气查询,,4,国内1天生活指数预报,,27993
低于0.01元/次,0,API数据,,,天气查询,,4,国内空气质量实况,,23460
低于0.01元/次,0,API数据,,,天气查询,,4,国内城市3天逐3小时预报,,30113
0.02元/次,0,API数据,,,天气查询,,4,国内景区实况4天逐24小时预报,,24055
0.05元/次,0,API数据,,,智能识别,,4,人脸比对,,28409
0.13元/次,0,API数据,,,企业工商,,4,企业三要素核验,,22913
0.12元/次,0,API数据,,,企业工商,,4,企业二要素核验,,21766
0.59元/次,0,API数据,,,企业工商,,4,企业基础信息核验,,28677
0.27元/次,0,API数据,,,企业工商,,4,商标信息核验,,25537
0.39元/次,0,API数据,,,企业工商,,4,企业资质证书信息核验,,25108
0.27元/次,0,API数据,,,资质备案,,4,域名核验,,24741
0.27元/次,0,API数据,,,企业工商,,4,企业基础信息及联系方式核验,,26351
0.27元/次,0,API数据,,,知识产权,,4,企业专利核验,,26888
0.27元/次,0,API数据,,,知识产权,,4,著作权核验,,20633
0.27元/次,0,API数据,,,知识产权,,4,软件著作权核验,,21758
1.1元/次,0,API数据,,,企业综合,,4,招聘信息核验,,24439
0.26元/次,0,API数据,,,银行卡核验,,5,银行卡二三四要素综合实名认证,,21014
0.09元/次,0,API数据,,,快递查询,,4,实时快递物流轨迹跟踪,,22210
低于0.01元/次,0,API数据,,,app应用,,4,IP地址查询,,24163
100.0元/月,0,API数据,,,手机号码归属,,4,手机号码归属地查询,,20775
低于0.01元/次,0,API数据,,,快递查询,,4,全国快递查询,,10480
2.5元/次,0,API数据,,,反欺诈,,5,蜜罐数据,,57560
0.05元/次,0,API数据,,,身份核验,,5,身份证实名认证,,45557
0.22元/次,0,API数据,,,手机号验证,,5,手机号三元素实名认证,,28489
0.23元/次,0,API数据,,,银行卡核验,,5,银行卡二三四元素验证,,30195
0.03元/次,0,API数据,,,短信API,,4,语音短信,,24653
0.03元/次,0,API数据,,,短信API,,5,106短信接口,,41061
14.0元/次,0,API数据,,,企业综合,,4,企业法人对外投资核验,,27672
5.4元/次,0,API数据,,,投融资,,4,企业股东对外投资核验,,23565
6.6元/次,0,API数据,,,企业综合,,4,企业对外投资公司核验,,24206
0.6元/次,0,API数据,,,企业综合,,4,企业行政处罚信息核验,,22125
0.27元/次,0,API数据,,,企业综合,,4,企业经营异常核验,,27974
1.0元/次,0,API数据,,,app应用,,4,证件照获取,,25138
15.0元/次,0,API数据,,,车辆信息,,5,车辆出险D版,,31665
低于0.01元/次,0,API数据,,,新闻资讯,,5,频道新闻API,,25619
0.19元/次,0,API数据,,,舆情监测,,4,相关词挖掘,,23282
0.03元/次,0,API数据,,,舆情监测,,4,关键词搜索量,,27803
0.25元/次,0,API数据,,,黑名单,,4,被执行人信息查询,,24481
0.25元/次,0,API数据,,,企业综合,,5,企业工商详情综合查询,,28463
0.25元/次,0,API数据,,,黑名单,,4,失信被执行人查询,,30453
0.2元/次,0,API数据,,,风控,,4,活体检测,,23117
低于0.01元/次,0,API数据,,,位置地图,,4,景点信息查询,,30881
低于0.01元/次,0,API数据,,,身份核验,,5,身份证信息查询,,27484
低于0.01元/次,0,API数据,,,银行卡信息,,5,银行卡归属地查询,,33013
0.03元/次,0,API数据,,,身份核验,,5,身份证二要素实名认证,,25508
1.0元/次,0,API数据,,,车辆信息,,5,VIN码查发动机号,,23957
0.03元/次,0,API数据,,,短信API,,5,短信通知,,10551
0.55元/次,0,API数据,,,黑名单,,5,涉诉信息查询,,25358
0.2元/次,0,API数据,,,银行卡核验,,5,银行卡核验支持二三四要素,,30475
0.1元/次,0,API数据,,,银行卡核验,,5,人脸识别人脸实人认证身份证身份鉴别,,24974
0.17元/次,0,API数据,,,身份核验,,5,人脸比对人脸身份证比对,,30504
0.03元/次,0,API数据,,,身份核验,,4,身份核验,,26985
0.03元/次,0,API数据,,,风控,,4,羊毛党检测,,27211
低于0.01元/次,0,API数据,,,企业综合,,5,银行联行号查询,,29476
低于0.01元/次,0,API数据,,,快递查询,,5,快递物流查询,,23003
0.04元/次,0,API数据,,,企业综合,,4,土地抵押查询,,25206
1.5元/次,0,API数据,,,企业工商,,4,企业风险信息一键查,,29781
0.1元/次,0,API数据,,,智能识别,,4,营业执照OCR识别,,25739
0.06元/次,0,API数据,,,智能识别,,4,银行卡OCR识别,,27726
0.06元/次,0,API数据,,,智能识别,,4,驾驶证OCR识别,,24699
0.06元/次,0,API数据,,,车辆信息,,4,车牌号OCR识别,,29992
0.06元/次,0,API数据,,,智能识别,,4,行驶证OCR识别,,27254
0.17元/次,0,API数据,,,身份核验,,4,身份证实名认证接口,,29579
0.33元/次,0,API数据,,,手机号验证,,4,全网手机三要素接口,,24580
0.17元/次,0,API数据,,,银行卡核验,,4,银行卡四要素认证,,26163
0.04元/次,0,API数据,,,公告文书,,5,法院公告开庭公告裁判文书审判流程查询,,29935
0.45元/次,0,API数据,,,企业综合,,5,专业版法院综合诉讼查询,,26521
低于0.01元/次,0,API数据,,,电子商务,,5,淘宝商品详细信息查询V2,,31432
低于0.01元/次,0,API数据,,,智能风控,,4,语言处理AI文本纠错接口,,30522
0.07元/次,0,API数据,,,短信API,,4,大容量短信API接口短信接口加强版,,26522
0.3元/次,0,API数据,,,智能风控,,5,活体检测实人认证标准版,,27508
0.16元/次,0,API数据,,,企业工商,,5,企业工商信息详情查询信息精准查询全维度版,,27814
0.08元/次,0,API数据,,,智能识别,,5,活体检测,,21866
0.06元/次,0,API数据,,,企业工商,,5,企业工商信息关键字搜索执照信息模糊查询,,26950
0.07元/次,0,API数据,,,企业工商,,5,企业工商详情查询企业工商信息查询标准版,,26000
0.09元/次,0,API数据,,,车辆信息,,4,VIN车辆识别代码查询,,24042
