ID,注册时间,注册资本,行业,区域,企业类型,控制人类型,控制人持股比例,flag
8444,2014.0,2560.0,零售业,湖北,集体所有制企业,企业法人,0.67,1.0
8492,2013.0,2080.0,商业服务业,湖北,有限责任公司,企业法人,0.77,1.0
8608,2005.0,7990.0,服务业,湖北,有限责任公司,企业法人,0.74,1.0
8663,2006.0,920.0,服务业,山东,合伙企业,企业法人,0.89,1.0
8854,2005.0,7830.0,社区服务,山东,合伙企业,企业法人,0.57,1.0
8872,2001.0,8880.0,服务业,江西,股份有限公司,企业法人,0.92,1.0
8972,2004.0,920.0,社区服务,福建,集体所有制企业,企业法人,0.59,1.0
9095,2007.0,6600.0,工业,山东,合伙企业,自然人,0.56,1.0
9124,2012.0,480.0,零售业,湖南,农民专业合作社,企业法人,0.8,1.0
9476,2002.0,9660.0,商业服务业,湖北,有限责任公司,自然人,0.93,1.0
9542,2007.0,8650.0,零售业,江西,有限责任公司,自然人,0.59,1.0
9663,2003.0,1410.0,商业服务业,江西,有限责任公司,自然人,0.96,1.0
9998,2009.0,8100.0,工业,广东,农民专业合作社,企业法人,0.75,1.0
10470,2007.0,4580.0,交通运输业,湖南,农民专业合作社,企业法人,0.94,1.0
10813,2010.0,9930.0,零售业,山东,合伙企业,自然人,0.82,1.0
10869,2004.0,9140.0,,福建,集体所有制企业,企业法人,0.97,1.0
10994,2006.0,7530.0,社区服务,湖北,股份有限公司,企业法人,0.93,1.0
10995,2001.0,4980.0,零售业,福建,合伙企业,自然人,0.53,1.0
10999,2001.0,1740.0,社区服务,广西,农民专业合作社,企业法人,0.76,1.0
11796,2007.0,6190.0,服务业,湖北,合伙企业,企业法人,0.96,1.0
12192,2012.0,2820.0,工业,福建,农民专业合作社,自然人,0.79,1.0
12233,2013.0,2200.0,交通运输业,山东,农民专业合作社,自然人,0.81,1.0
12404,2013.0,5700.0,服务业,广西,集体所有制企业,企业法人,0.67,1.0
12418,2000.0,480.0,零售业,湖北,股份有限公司,自然人,0.65,1.0
12660,2010.0,8600.0,服务业,福建,集体所有制企业,自然人,0.97,1.0
13491,2011.0,4740.0,工业,湖北,,企业法人,0.97,1.0
13593,2003.0,360.0,社区服务,广西,有限责任公司,自然人,0.81,1.0
13957,2002.0,7970.0,交通运输业,湖北,合伙企业,企业法人,0.75,1.0
14254,2005.0,4400.0,服务业,湖北,有限责任公司,自然人,0.88,1.0
14485,2006.0,7090.0,商业服务业,广东,合伙企业,企业法人,0.84,1.0
14520,2005.0,1100.0,服务业,湖北,有限责任公司,自然人,0.53,1.0
14555,2013.0,650.0,零售业,湖北,农民专业合作社,自然人,0.67,1.0
15099,2006.0,2710.0,工业,江西,股份有限公司,自然人,0.53,1.0
15197,2006.0,6590.0,商业服务业,广东,集体所有制企业,企业法人,0.54,1.0
15385,2004.0,1620.0,工业,湖南,集体所有制企业,企业法人,0.77,1.0
15416,,9420.0,社区服务,湖北,合伙企业,企业法人,0.55,1.0
15685,2002.0,2150.0,零售业,江西,农民专业合作社,自然人,0.86,1.0
15886,2001.0,900.0,工业,湖南,股份有限公司,自然人,0.86,1.0
16069,2013.0,960.0,服务业,广东,有限责任公司,企业法人,0.92,1.0
16326,2013.0,3210.0,工业,湖北,集体所有制企业,企业法人,0.56,1.0
16758,2010.0,920.0,商业服务业,山东,农民专业合作社,企业法人,0.95,1.0
16884,2002.0,8430.0,社区服务,山东,股份有限公司,企业法人,0.59,1.0
16999,2004.0,9060.0,零售业,福建,集体所有制企业,自然人,0.87,1.0
17641,2011.0,5740.0,工业,湖南,集体所有制企业,自然人,0.54,1.0
17646,2011.0,6370.0,工业,福建,股份有限公司,自然人,0.98,1.0
18216,2009.0,8100.0,商业服务业,山东,集体所有制企业,自然人,,1.0
18366,2013.0,1530.0,零售业,广东,合伙企业,自然人,0.94,1.0
18509,2003.0,6540.0,商业服务业,江西,合伙企业,企业法人,0.8,1.0
18837,2006.0,9360.0,服务业,福建,农民专业合作社,自然人,0.54,1.0
18932,2008.0,710.0,交通运输业,福建,股份有限公司,自然人,0.78,1.0
19112,2004.0,5850.0,交通运输业,湖南,农民专业合作社,企业法人,0.71,1.0
19317,2011.0,1410.0,商业服务业,广西,股份有限公司,自然人,0.76,1.0
19501,2003.0,1620.0,服务业,山东,有限责任公司,自然人,0.54,1.0
19559,2009.0,3990.0,社区服务,,股份有限公司,自然人,0.71,1.0
19651,2009.0,2310.0,交通运输业,广西,农民专业合作社,企业法人,0.82,1.0
19876,2012.0,9980.0,零售业,湖北,合伙企业,自然人,0.6,1.0
20333,2002.0,540.0,工业,湖北,股份有限公司,企业法人,0.83,1.0
20540,2001.0,2000.0,服务业,广东,合伙企业,企业法人,0.89,1.0
20686,2006.0,4960.0,服务业,湖北,集体所有制企业,自然人,0.56,1.0
20812,2014.0,3750.0,零售业,湖南,集体所有制企业,自然人,0.52,1.0
20853,2004.0,1630.0,社区服务,广东,农民专业合作社,自然人,0.92,1.0
20921,2001.0,8390.0,工业,广西,有限责任公司,企业法人,0.52,1.0
21044,2006.0,1830.0,商业服务业,湖北,股份有限公司,自然人,0.85,1.0
21593,2003.0,4690.0,零售业,广东,农民专业合作社,企业法人,0.81,1.0
21913,2012.0,2600.0,零售业,山东,合伙企业,自然人,0.91,1.0
21933,2001.0,9850.0,商业服务业,福建,农民专业合作社,企业法人,0.68,1.0
21985,2014.0,3420.0,零售业,山东,股份有限公司,企业法人,0.8,1.0
22166,2008.0,4500.0,零售业,江西,农民专业合作社,企业法人,0.98,1.0
22549,2001.0,4760.0,商业服务业,福建,农民专业合作社,企业法人,0.6,1.0
22785,2004.0,4290.0,社区服务,广东,股份有限公司,自然人,1.0,1.0
22869,2001.0,8910.0,工业,广东,合伙企业,自然人,0.58,1.0
23208,2008.0,5330.0,服务业,山东,股份有限公司,企业法人,0.59,1.0
23245,2000.0,7040.0,交通运输业,广西,有限责任公司,自然人,0.76,1.0
23491,2001.0,6160.0,交通运输业,广东,农民专业合作社,自然人,0.97,1.0
23961,2013.0,5960.0,商业服务业,福建,集体所有制企业,自然人,0.89,1.0
24265,2013.0,8230.0,服务业,广东,有限责任公司,自然人,0.75,1.0
24611,2003.0,9710.0,交通运输业,福建,集体所有制企业,自然人,0.51,1.0
24623,2013.0,6200.0,服务业,福建,合伙企业,企业法人,0.76,1.0
25111,2005.0,3500.0,商业服务业,广东,股份有限公司,企业法人,0.51,1.0
25208,2004.0,6910.0,零售业,广东,股份有限公司,自然人,0.98,1.0
25529,2002.0,9600.0,零售业,福建,农民专业合作社,企业法人,0.99,1.0
25732,2008.0,9900.0,零售业,广东,股份有限公司,企业法人,0.69,1.0
25947,2006.0,4720.0,交通运输业,广西,股份有限公司,企业法人,0.64,1.0
26293,2000.0,610.0,工业,湖南,股份有限公司,企业法人,0.79,1.0
26448,2004.0,3920.0,工业,山东,合伙企业,企业法人,0.83,1.0
26730,2005.0,2250.0,零售业,湖北,股份有限公司,企业法人,0.65,1.0
26885,2003.0,4660.0,商业服务业,广东,集体所有制企业,企业法人,0.96,1.0
26888,2009.0,9970.0,交通运输业,福建,有限责任公司,企业法人,0.77,1.0
27003,2009.0,,零售业,湖南,合伙企业,自然人,0.89,1.0
27258,2006.0,990.0,商业服务业,广西,集体所有制企业,企业法人,0.87,1.0
27622,2001.0,9420.0,零售业,湖北,集体所有制企业,企业法人,0.6,1.0
27678,2009.0,5980.0,商业服务业,广西,有限责任公司,自然人,0.8,1.0
27935,2006.0,3680.0,工业,山东,合伙企业,企业法人,0.68,1.0
28415,2002.0,7660.0,工业,湖南,集体所有制企业,自然人,0.55,1.0
28529,2014.0,7780.0,服务业,江西,有限责任公司,企业法人,0.85,1.0
29118,2002.0,410.0,商业服务业,,合伙企业,企业法人,1.0,1.0
29357,2012.0,8260.0,商业服务业,福建,股份有限公司,企业法人,0.83,1.0
29403,2009.0,6620.0,工业,广东,股份有限公司,企业法人,0.57,1.0
29427,2008.0,7680.0,交通运输业,湖南,农民专业合作社,自然人,0.94,1.0
29593,2005.0,8600.0,交通运输业,山东,合伙企业,企业法人,0.89,1.0
29601,2013.0,1660.0,零售业,湖南,农民专业合作社,企业法人,0.55,1.0
29967,2000.0,4630.0,社区服务,广东,集体所有制企业,自然人,0.74,1.0
29976,2008.0,6040.0,社区服务,湖南,集体所有制企业,自然人,0.93,1.0
30132,2012.0,4150.0,交通运输业,福建,集体所有制企业,企业法人,0.65,1.0
30246,2001.0,,工业,广西,股份有限公司,自然人,0.9,1.0
30264,2014.0,7170.0,零售业,福建,有限责任公司,自然人,0.72,1.0
30302,2003.0,6730.0,零售业,湖北,农民专业合作社,自然人,0.77,1.0
30369,2002.0,640.0,服务业,湖南,集体所有制企业,企业法人,0.74,1.0
31143,2000.0,2370.0,交通运输业,湖北,股份有限公司,自然人,0.69,1.0
31438,,3320.0,交通运输业,山东,股份有限公司,企业法人,0.89,1.0
31622,2001.0,9900.0,零售业,湖南,集体所有制企业,自然人,0.67,1.0
31842,2000.0,2200.0,工业,广东,合伙企业,自然人,0.77,1.0
32128,2011.0,7670.0,交通运输业,广西,合伙企业,企业法人,0.93,1.0
32253,2004.0,2320.0,服务业,广东,有限责任公司,企业法人,0.83,1.0
32388,2008.0,1920.0,商业服务业,山东,股份有限公司,企业法人,0.86,1.0
32579,2001.0,9240.0,服务业,江西,农民专业合作社,企业法人,0.53,1.0
32676,2007.0,8980.0,服务业,广东,合伙企业,自然人,0.69,1.0
32760,2006.0,1420.0,零售业,广西,股份有限公司,企业法人,0.58,1.0
32969,2004.0,5800.0,交通运输业,福建,集体所有制企业,自然人,0.86,1.0
32995,2007.0,6760.0,社区服务,江西,有限责任公司,自然人,0.94,1.0
33282,2014.0,1480.0,交通运输业,江西,集体所有制企业,自然人,0.99,1.0
34049,2001.0,6790.0,服务业,山东,,自然人,0.59,1.0
34074,2011.0,720.0,工业,福建,农民专业合作社,自然人,0.59,1.0
34248,2011.0,5020.0,社区服务,山东,有限责任公司,企业法人,0.54,1.0
34308,2006.0,3780.0,服务业,江西,集体所有制企业,自然人,0.79,1.0
34470,2013.0,7300.0,零售业,广东,股份有限公司,自然人,0.51,1.0
34569,2014.0,9120.0,零售业,湖北,股份有限公司,企业法人,0.74,1.0
34772,2013.0,6490.0,社区服务,江西,有限责任公司,自然人,0.6,1.0
34823,2013.0,5590.0,社区服务,福建,有限责任公司,企业法人,0.52,1.0
35119,2002.0,270.0,交通运输业,福建,合伙企业,自然人,0.71,1.0
35426,2011.0,5530.0,交通运输业,湖南,股份有限公司,自然人,0.74,1.0
35492,2004.0,2790.0,社区服务,广东,合伙企业,企业法人,0.64,1.0
35662,2012.0,1410.0,零售业,湖北,农民专业合作社,自然人,0.82,1.0
35703,2008.0,370.0,交通运输业,广东,有限责任公司,自然人,0.52,1.0
35750,2001.0,540.0,社区服务,江西,集体所有制企业,自然人,0.92,1.0
35844,2005.0,590.0,交通运输业,江西,合伙企业,自然人,0.92,1.0
35887,2006.0,9620.0,社区服务,湖南,合伙企业,自然人,0.99,1.0
36046,2008.0,5500.0,商业服务业,湖南,股份有限公司,自然人,1.0,1.0
36360,2013.0,7600.0,工业,福建,集体所有制企业,自然人,0.52,1.0
36679,2006.0,8460.0,服务业,湖南,农民专业合作社,自然人,0.53,1.0
36727,2010.0,4630.0,社区服务,福建,农民专业合作社,自然人,0.77,1.0
36740,2005.0,3790.0,工业,山东,股份有限公司,企业法人,0.67,1.0
36941,2010.0,7090.0,零售业,山东,农民专业合作社,企业法人,0.58,1.0
37342,2011.0,6120.0,社区服务,湖北,合伙企业,自然人,0.73,1.0
37412,2003.0,2750.0,交通运输业,江西,股份有限公司,自然人,0.86,1.0
37653,2008.0,1520.0,商业服务业,广东,有限责任公司,企业法人,0.73,1.0
37721,2007.0,3170.0,零售业,广东,股份有限公司,企业法人,0.8,1.0
38023,2005.0,4910.0,交通运输业,福建,集体所有制企业,企业法人,0.85,1.0
38032,2012.0,390.0,社区服务,湖北,有限责任公司,自然人,0.83,1.0
38062,2002.0,7810.0,零售业,江西,有限责任公司,企业法人,0.75,1.0
38296,2005.0,5510.0,商业服务业,湖北,股份有限公司,自然人,0.56,1.0
38401,2010.0,9430.0,工业,湖北,合伙企业,企业法人,0.72,1.0
38406,2006.0,440.0,交通运输业,山东,有限责任公司,企业法人,0.99,1.0
38610,2003.0,7710.0,交通运输业,山东,农民专业合作社,自然人,0.98,1.0
38611,2012.0,6580.0,社区服务,广东,股份有限公司,企业法人,0.56,1.0
38714,2002.0,730.0,工业,福建,股份有限公司,自然人,0.65,1.0
38764,2003.0,4730.0,服务业,广东,农民专业合作社,自然人,0.53,1.0
38864,2010.0,8420.0,交通运输业,广西,合伙企业,,0.76,1.0
38946,2004.0,2690.0,零售业,江西,农民专业合作社,企业法人,0.68,1.0
39802,2002.0,8490.0,服务业,福建,集体所有制企业,企业法人,0.58,1.0
40190,2006.0,7390.0,商业服务业,广西,集体所有制企业,自然人,0.67,1.0
40231,2000.0,6520.0,社区服务,广东,集体所有制企业,企业法人,0.76,1.0
40950,2001.0,5720.0,工业,广西,合伙企业,企业法人,0.54,1.0
41027,2002.0,1800.0,交通运输业,,农民专业合作社,企业法人,0.58,1.0
41159,2006.0,7960.0,零售业,山东,合伙企业,企业法人,0.85,1.0
41345,2012.0,7690.0,交通运输业,湖北,有限责任公司,自然人,0.95,1.0
41405,,3450.0,服务业,福建,农民专业合作社,企业法人,0.91,1.0
41451,2007.0,3220.0,工业,湖北,合伙企业,自然人,0.96,1.0
41570,2005.0,6170.0,工业,山东,农民专业合作社,企业法人,0.78,1.0
41860,2008.0,7540.0,商业服务业,山东,有限责任公司,企业法人,0.69,1.0
41906,2001.0,9420.0,商业服务业,江西,有限责任公司,自然人,0.77,1.0
42114,2002.0,1220.0,社区服务,,集体所有制企业,,0.52,1.0
42406,2005.0,5500.0,交通运输业,江西,农民专业合作社,企业法人,0.58,1.0
42484,2001.0,4650.0,社区服务,广西,合伙企业,自然人,0.82,1.0
42739,2009.0,790.0,交通运输业,山东,农民专业合作社,企业法人,0.99,1.0
42770,2011.0,1640.0,零售业,山东,农民专业合作社,企业法人,0.54,1.0
43021,,3250.0,零售业,广东,集体所有制企业,自然人,0.98,1.0
44291,2001.0,8640.0,工业,湖南,集体所有制企业,企业法人,0.82,1.0
44974,2006.0,2330.0,工业,山东,农民专业合作社,自然人,0.87,1.0
45221,2008.0,1630.0,工业,山东,股份有限公司,自然人,0.99,1.0
45362,2000.0,4570.0,零售业,广西,农民专业合作社,企业法人,0.8,1.0
45750,2002.0,8700.0,工业,广东,农民专业合作社,自然人,0.86,1.0
45825,2001.0,7470.0,商业服务业,湖南,有限责任公司,企业法人,0.91,1.0
46259,2005.0,2330.0,工业,湖南,合伙企业,企业法人,0.91,1.0
46274,2013.0,2230.0,服务业,广东,集体所有制企业,企业法人,0.62,1.0
46556,2001.0,7790.0,服务业,湖南,合伙企业,自然人,0.52,1.0
46787,2003.0,4470.0,商业服务业,福建,合伙企业,企业法人,0.68,1.0
47053,2009.0,8380.0,商业服务业,江西,合伙企业,自然人,0.54,1.0
47264,2004.0,6930.0,商业服务业,广东,股份有限公司,自然人,0.71,1.0
47267,2001.0,2240.0,交通运输业,湖北,集体所有制企业,自然人,0.92,1.0
47352,2004.0,9330.0,商业服务业,山东,股份有限公司,自然人,0.52,1.0
47417,2001.0,8240.0,工业,湖北,有限责任公司,自然人,0.68,1.0
47464,2014.0,4180.0,商业服务业,广东,农民专业合作社,,0.97,1.0
47871,2008.0,1760.0,交通运输业,广东,有限责任公司,自然人,0.65,1.0
47964,2003.0,4570.0,交通运输业,江西,股份有限公司,企业法人,0.55,1.0
48204,2001.0,5810.0,社区服务,湖北,股份有限公司,企业法人,0.81,1.0
48222,2008.0,3810.0,商业服务业,湖南,集体所有制企业,自然人,0.77,1.0
48228,2014.0,5170.0,工业,广西,农民专业合作社,企业法人,0.55,1.0
48254,2010.0,5850.0,零售业,江西,农民专业合作社,企业法人,0.71,1.0
48272,2006.0,7870.0,交通运输业,江西,合伙企业,自然人,0.51,1.0
48367,2002.0,8600.0,零售业,广东,集体所有制企业,自然人,0.63,1.0
48533,2010.0,3910.0,零售业,广东,集体所有制企业,自然人,0.66,1.0
49019,2002.0,460.0,交通运输业,广西,股份有限公司,企业法人,0.83,1.0
49446,2000.0,7500.0,工业,广西,合伙企业,自然人,0.75,1.0
49469,2010.0,1190.0,零售业,湖北,集体所有制企业,自然人,0.53,1.0
49545,2008.0,3180.0,商业服务业,江西,集体所有制企业,自然人,0.99,1.0
49822,2005.0,7320.0,零售业,山东,农民专业合作社,企业法人,0.55,1.0
49879,2004.0,8650.0,服务业,山东,股份有限公司,自然人,0.66,1.0
50052,2001.0,8940.0,交通运输业,福建,合伙企业,企业法人,0.57,1.0
50164,2003.0,9630.0,交通运输业,山东,合伙企业,企业法人,0.58,1.0
50191,2002.0,2860.0,社区服务,江西,合伙企业,企业法人,0.88,1.0
50741,2007.0,6230.0,服务业,江西,集体所有制企业,企业法人,0.88,1.0
50937,2008.0,6550.0,工业,广东,集体所有制企业,自然人,0.53,1.0
51078,2014.0,1200.0,社区服务,广西,合伙企业,企业法人,0.93,1.0
51148,2005.0,270.0,社区服务,江西,股份有限公司,自然人,0.99,1.0
51343,2000.0,5860.0,服务业,湖南,有限责任公司,自然人,0.8,1.0
51422,2008.0,5460.0,服务业,广东,股份有限公司,自然人,0.81,1.0
51503,2006.0,4490.0,社区服务,福建,股份有限公司,企业法人,0.95,1.0
51832,2012.0,3100.0,,湖南,有限责任公司,自然人,0.93,1.0
51833,2014.0,1190.0,商业服务业,广东,集体所有制企业,自然人,0.68,1.0
51869,2010.0,2640.0,交通运输业,广东,合伙企业,自然人,0.74,1.0
52105,2000.0,7480.0,社区服务,湖南,股份有限公司,企业法人,0.78,1.0
52327,2000.0,7370.0,交通运输业,广西,合伙企业,,0.72,1.0
52328,2012.0,4050.0,工业,广东,合伙企业,自然人,0.7,1.0
52443,2007.0,910.0,商业服务业,广西,有限责任公司,自然人,0.82,1.0
52797,2003.0,2870.0,社区服务,江西,股份有限公司,企业法人,0.52,1.0
53346,2014.0,5420.0,服务业,福建,集体所有制企业,自然人,0.75,1.0
53589,2000.0,2760.0,交通运输业,江西,有限责任公司,企业法人,0.64,1.0
53829,2002.0,6790.0,工业,江西,集体所有制企业,自然人,0.98,1.0
54161,2007.0,3300.0,服务业,湖北,合伙企业,自然人,0.58,1.0
54328,2000.0,8730.0,零售业,湖南,农民专业合作社,自然人,0.7,1.0
54813,2013.0,7730.0,服务业,福建,股份有限公司,企业法人,0.53,1.0
55206,2002.0,2130.0,社区服务,广东,集体所有制企业,企业法人,0.69,1.0
55417,2000.0,5590.0,交通运输业,山东,股份有限公司,自然人,0.96,1.0
55465,2005.0,3560.0,交通运输业,湖北,股份有限公司,自然人,0.95,1.0
55990,2012.0,3210.0,商业服务业,福建,股份有限公司,自然人,0.62,1.0
56210,2009.0,4350.0,零售业,山东,农民专业合作社,自然人,0.62,1.0
56906,2003.0,4290.0,工业,广西,集体所有制企业,自然人,0.52,1.0
57172,2006.0,7470.0,零售业,广西,集体所有制企业,企业法人,0.76,1.0
57184,2004.0,2990.0,交通运输业,湖北,农民专业合作社,自然人,0.85,1.0
57345,2010.0,8730.0,工业,广西,,自然人,0.82,1.0
57449,2003.0,4310.0,交通运输业,福建,股份有限公司,自然人,0.53,1.0
57506,2005.0,4320.0,工业,福建,集体所有制企业,自然人,0.73,1.0
57751,2004.0,2030.0,工业,湖北,农民专业合作社,自然人,0.84,1.0
57799,2012.0,9500.0,零售业,湖南,有限责任公司,自然人,0.67,1.0
57871,2004.0,310.0,商业服务业,山东,股份有限公司,企业法人,0.52,1.0
58140,2001.0,1150.0,社区服务,广西,农民专业合作社,自然人,0.86,1.0
58233,2002.0,5560.0,服务业,广西,农民专业合作社,企业法人,0.62,1.0
58343,2007.0,2460.0,商业服务业,湖北,农民专业合作社,自然人,0.99,1.0
59433,2002.0,2710.0,工业,广东,集体所有制企业,自然人,0.9,1.0
59532,2002.0,1910.0,交通运输业,湖北,农民专业合作社,自然人,0.93,1.0
59684,2000.0,890.0,零售业,福建,股份有限公司,企业法人,0.92,1.0
59893,2010.0,2700.0,商业服务业,广东,,企业法人,1.0,1.0
59960,2005.0,2740.0,零售业,山东,有限责任公司,企业法人,0.69,1.0
60054,2001.0,9990.0,工业,山东,集体所有制企业,企业法人,0.98,1.0
60100,2000.0,9820.0,零售业,广东,集体所有制企业,企业法人,0.64,1.0
60247,2002.0,2580.0,社区服务,福建,有限责任公司,自然人,1.0,1.0
60704,2001.0,6640.0,商业服务业,广东,股份有限公司,企业法人,0.7,1.0
60954,2012.0,4380.0,商业服务业,湖南,农民专业合作社,企业法人,0.74,1.0
60979,2011.0,5330.0,社区服务,湖北,有限责任公司,自然人,0.61,1.0
61196,2013.0,8510.0,交通运输业,福建,股份有限公司,自然人,0.77,1.0
61570,2011.0,470.0,零售业,山东,集体所有制企业,企业法人,0.93,1.0
62254,2004.0,6200.0,商业服务业,广东,农民专业合作社,自然人,0.84,1.0
62367,2014.0,8540.0,商业服务业,广西,集体所有制企业,企业法人,0.55,1.0
62451,2011.0,2230.0,零售业,湖南,农民专业合作社,企业法人,0.71,1.0
62740,2012.0,3830.0,商业服务业,广东,有限责任公司,企业法人,0.81,1.0
62799,2002.0,9290.0,零售业,湖北,合伙企业,自然人,0.82,1.0
62889,2003.0,8170.0,服务业,湖北,集体所有制企业,企业法人,0.84,1.0
62957,2000.0,6500.0,服务业,湖南,集体所有制企业,自然人,0.68,1.0
63570,2009.0,7650.0,零售业,湖南,有限责任公司,自然人,0.65,1.0
63653,2006.0,4710.0,零售业,山东,农民专业合作社,自然人,0.65,1.0
63724,2012.0,9310.0,商业服务业,广西,集体所有制企业,自然人,0.55,1.0
64092,2010.0,8670.0,交通运输业,广西,集体所有制企业,自然人,0.6,1.0
64162,2009.0,6600.0,服务业,广西,股份有限公司,自然人,0.87,1.0
64176,2012.0,5750.0,服务业,广西,合伙企业,自然人,0.65,1.0
64721,2008.0,8380.0,服务业,湖南,股份有限公司,自然人,0.63,1.0
64736,2013.0,3530.0,服务业,福建,农民专业合作社,自然人,0.78,1.0
64925,2010.0,9030.0,交通运输业,福建,合伙企业,自然人,0.72,1.0
65075,2014.0,5450.0,服务业,湖南,合伙企业,自然人,0.85,1.0
65530,2008.0,4540.0,交通运输业,福建,有限责任公司,自然人,0.66,1.0
65679,2010.0,2060.0,服务业,湖南,有限责任公司,自然人,0.85,1.0
65722,2003.0,3020.0,商业服务业,福建,集体所有制企业,自然人,0.58,1.0
65868,2007.0,5790.0,社区服务,福建,合伙企业,自然人,0.61,1.0
66064,2003.0,8500.0,社区服务,广西,有限责任公司,企业法人,0.85,1.0
66460,2009.0,8040.0,,湖北,合伙企业,企业法人,0.9,1.0
66514,2010.0,5720.0,商业服务业,广西,股份有限公司,企业法人,0.59,1.0
66611,2013.0,8890.0,零售业,山东,股份有限公司,自然人,0.74,1.0
66612,2000.0,3000.0,社区服务,山东,农民专业合作社,自然人,0.84,1.0
67221,2010.0,3820.0,社区服务,山东,集体所有制企业,自然人,0.55,1.0
67236,2000.0,8800.0,服务业,广东,有限责任公司,企业法人,0.71,1.0
67350,2009.0,2960.0,服务业,广西,集体所有制企业,企业法人,0.9,1.0
67446,2003.0,7220.0,交通运输业,湖南,有限责任公司,自然人,0.94,1.0
67479,2010.0,5190.0,商业服务业,广西,股份有限公司,企业法人,0.65,1.0
67560,2004.0,5580.0,工业,,股份有限公司,企业法人,0.54,1.0
67601,2014.0,350.0,社区服务,湖南,股份有限公司,企业法人,0.92,1.0
69810,2013.0,570.0,零售业,湖南,合伙企业,企业法人,0.69,1.0
69817,2012.0,2780.0,交通运输业,广东,合伙企业,自然人,0.56,1.0
70257,2011.0,7100.0,社区服务,江西,合伙企业,自然人,0.52,1.0
70322,2001.0,5770.0,商业服务业,湖北,合伙企业,企业法人,0.83,1.0
70426,,9270.0,交通运输业,福建,农民专业合作社,企业法人,0.52,1.0
70469,2013.0,9930.0,商业服务业,广东,股份有限公司,企业法人,0.73,1.0
70567,2005.0,8630.0,社区服务,山东,合伙企业,企业法人,0.94,1.0
70682,2002.0,6350.0,社区服务,湖北,集体所有制企业,自然人,0.69,1.0
71205,2012.0,1230.0,交通运输业,广东,合伙企业,自然人,0.58,1.0
71313,2009.0,2510.0,工业,江西,农民专业合作社,企业法人,0.62,1.0
71329,2010.0,3960.0,交通运输业,山东,合伙企业,企业法人,0.75,1.0
71713,2013.0,9380.0,工业,广东,农民专业合作社,企业法人,0.67,1.0
71721,2005.0,5670.0,商业服务业,福建,集体所有制企业,自然人,0.81,1.0
72335,2007.0,3630.0,社区服务,广东,股份有限公司,自然人,0.81,1.0
73286,2004.0,9620.0,商业服务业,广西,合伙企业,企业法人,0.63,1.0
73401,2007.0,1440.0,商业服务业,湖北,合伙企业,自然人,0.66,1.0
73507,2013.0,4310.0,商业服务业,湖南,农民专业合作社,企业法人,0.95,1.0
73568,2006.0,3680.0,商业服务业,广东,股份有限公司,自然人,0.84,1.0
